Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
3151.85,14853914.98,8.39,24750925.89,6.85,34646897.08,6.02,44543870.88,5.51,54440655.29,6.34,64338159.65,6.87,3134.29,14855366.80,16.14,24754624.67,9.91,34652400.21,7.14,44550947.27,7.19,54449274.39,8.55,64348264.73,9.40,3146.56,14847647.75,16.05,24742042.46,10.45,34635014.31,7.59,44528818.20,7.68,54422420.01,9.55,64316740.56,9.95
3227.81,14853914.85,8.39,24750925.60,6.86,34646896.59,6.01,44543870.28,5.51,54440654.55,6.34,64338158.78,6.87,3211.32,14855372.20,15.70,24754626.79,9.05,34652395.87,6.59,44550942.52,6.76,54449259.32,7.85,64348210.12,9.32,3222.52,14847647.66,16.05,24742042.35,10.45,34635014.16,7.59,44528818.01,7.68,54422419.76,9.55,64316740.27,9.95
3310.77,14853914.71,8.40,24750925.21,6.86,34646896.12,6.01,44543869.65,5.51,54440653.77,6.34,64338157.88,6.87,3292.37,14855370.98,15.79,24754626.14,9.22,34652396.41,6.70,44550943.04,6.85,54449261.83,7.99,64348220.51,9.34,3305.48,14847647.57,16.05,24742042.21,10.45,34635013.95,7.59,44528817.74,7.68,54422419.44,9.55,64316739.88,9.95
3381.20,14853914.56,8.40,24750924.89,6.86,34646895.72,6.00,44543869.11,5.51,54440653.09,6.34,64338157.10,6.87,3363.64,14855366.47,16.14,24754624.11,9.91,34652399.41,7.14,44550946.24,7.19,54449273.10,8.55,64348263.20,9.40,3375.91,14847647.47,16.05,24742042.06,10.45,34635013.74,7.59,44528817.47,7.68,54422419.11,9.55,64316739.50,9.95
3455.23,14853914.43,8.40,24750924.55,6.86,34646895.28,6.00,44543868.53,5.51,54440652.40,6.34,64338156.29,6.87,3436.34,14855370.77,15.78,24754625.78,9.22,34652395.91,6.70,44550942.39,6.84,54449261.05,7.99,64348219.52,9.34,3449.93,14847647.39,16.04,24742041.93,10.45,34635013.58,7.59,44528817.26,7.68,54422418.86,9.55,64316739.19,9.95
3536.18,14853914.29,8.40,24750924.21,6.87,34646894.83,6.00,44543867.98,5.51,54440651.70,6.34,64338155.48,6.88,3519.11,14855368.46,15.96,24754624.68,9.56,34652397.28,6.92,44550943.82,7.01,54449266.49,8.27,64348240.61,9.37,3530.89,14847647.31,16.04,24742041.82,10.45,34635013.41,7.59,44528817.04,7.68,54422418.58,9.55,64316738.88,9.95
3629.61,14853914.12,8.40,24750923.85,6.87,34646894.31,6.00,44543867.34,5.51,54440650.90,6.34,64338154.57,6.87,3612.82,14855371.65,15.69,24754625.87,9.04,34652394.55,6.59,44550940.81,6.76,54449257.24,7.85,64348207.61,9.32,3624.33,14847647.22,16.04,24742041.70,10.45,34635013.24,7.59,44528816.82,7.68,54422418.29,9.55,64316738.55,9.95
3711.12,14853913.96,8.40,24750923.51,6.87,34646893.94,5.99,44543866.76,5.51,54440650.20,6.34,64338153.70,6.87,3699.40,14855364.93,16.22,24754622.90,10.07,34652399.15,7.25,44550945.74,7.27,54449274.35,8.69,64348271.77,9.42,3705.83,14847647.13,16.04,24742041.55,10.45,34635013.02,7.59,44528816.53,7.68,54422417.96,9.55,64316738.16,9.95
3791.26,14853913.81,8.40,24750923.21,6.88,34646893.59,5.98,44543866.25,5.51,54440649.58,6.34,64338152.96,6.87,3774.85,14855361.54,16.49,24754621.35,10.59,34652401.37,7.58,44550948.10,7.52,54449282.76,9.12,64348304.15,9.47,3785.98,14847647.06,16.04,24742041.44,10.45,34635012.86,7.59,44528816.32,7.68,54422417.69,9.55,64316737.86,9.95
3857.50,14853913.71,8.40,24750922.96,6.88,34646893.26,5.98,44543865.80,5.51,54440649.03,6.34,64338152.32,6.87,3844.85,14855374.68,15.42,24754626.79,8.53,34652391.43,6.26,44550937.27,6.50,54449247.36,7.43,64348173.60,9.27,3852.21,14847647.00,16.04,24742041.37,10.45,34635012.79,7.59,44528816.24,7.68,54422417.59,9.55,64316737.69,9.95
3925.45,14853913.59,8.41,24750922.71,6.89,34646892.92,5.98,44543865.37,5.50,54440648.49,6.34,64338151.69,6.87,3914.74,14855374.60,15.42,24754626.64,8.53,34652391.22,6.26,44550937.00,6.50,54449246.98,7.43,64348173.13,9.27,3920.17,14847646.93,16.04,24742041.27,10.45,34635012.65,7.59,44528816.06,7.68,54422417.38,9.55,64316737.45,9.95
4003.46,14853913.46,8.41,24750922.47,6.89,34646892.57,5.98,44543864.95,5.50,54440647.98,6.34,64338151.09,6.87,3985.06,14855370.11,15.77,24754624.65,9.21,34652394.29,6.70,44550940.31,6.84,54449258.44,7.99,64348216.45,9.34,3998.17,14847646.87,16.04,24742041.16,10.45,34635012.48,7.59,44528815.84,7.68,54422417.10,9.55,64316737.14,9.95
4076.21,14853913.35,8.41,24750922.24,6.89,34646892.26,5.97,44543864.53,5.50,54440647.46,6.34,64338150.48,6.87,4058.18,14855365.62,16.13,24754622.65,9.90,34652397.33,7.14,44550943.57,7.18,54449269.83,8.55,64348259.25,9.40,4070.92,14847646.79,16.03,24742041.04,10.45,34635012.31,7.59,44528815.62,7.68,54422416.83,9.55,64316736.83,9.95
4147.02,14853913.23,8.41,24750922.00,6.90,34646891.88,5.98,44543864.09,5.50,54440646.93,6.34,64338149.85,6.87,4129.45,14855365.54,16.13,24754622.51,9.90,34652397.12,7.14,44550943.31,7.18,54449269.46,8.55,64348258.87,9.40,4141.72,14847646.72,16.03,24742040.93,10.45,34635012.16,7.59,44528815.43,7.68,54422416.61,9.55,64316736.55,9.95
4215.39,14853913.12,8.41,24750921.78,6.91,34646891.64,5.97,44543863.70,5.50,54440646.44,6.34,64338149.26,6.87,4197.64,14855365.46,16.13,24754622.37,9.90,34652396.92,7.14,44550943.03,7.18,54449269.15,8.55,64348258.61,9.40,4210.10,14847646.64,16.03,24742040.82,10.45,34635012.01,7.59,44528815.23,7.68,54422416.35,9.55,64316736.24,9.95
4287.65,14853913.00,8.41,24750921.53,6.91,34646891.33,5.97,44543863.27,5.50,54440645.92,6.34,64338148.64,6.87,4269.61,14855365.37,16.13,24754622.22,9.90,34652396.72,7.14,44550942.79,7.18,54449268.85,8.55,64348258.08,9.40,4282.35,14847646.57,16.03,24742040.71,10.45,34635011.85,7.59,44528815.02,7.68,54422416.10,9.55,64316735.97,9.95
4361.02,14853912.87,8.41,24750921.31,6.92,34646891.05,5.96,44543862.84,5.50,54440645.39,6.34,64338148.01,6.87,4341.84,14855369.69,15.77,24754623.93,9.21,34652393.26,6.70,44550939.01,6.84,54449256.85,7.99,64348214.33,9.33,4355.73,14847646.49,16.03,24742040.59,10.45,34635011.68,7.59,44528814.81,7.68,54422415.83,9.55,64316735.63,9.95
4428.80,14853912.75,8.41,24750921.10,6.93,34646890.76,5.96,44543862.42,5.50,54440644.88,6.34,64338147.40,6.87,4411.35,14855369.60,15.77,24754623.79,9.21,34652393.04,6.70,44550938.69,6.84,54449256.44,7.99,64348214.11,9.34,4423.51,14847646.41,16.03,24742040.47,10.45,34635011.53,7.59,44528814.61,7.68,54422415.58,9.55,64316735.34,9.95
4506.87,14853912.64,8.41,24750920.89,6.93,34646890.45,5.96,44543862.03,5.50,54440644.40,6.34,64338146.82,6.87,4487.90,14855369.52,15.77,24754623.64,9.21,34652392.84,6.69,44550938.47,6.84,54449256.19,7.99,64348213.58,9.33,4501.66,14847646.34,16.03,24742040.36,10.45,34635011.37,7.59,44528814.41,7.68,54422415.34,9.55,64316735.07,9.95
